소재지전체주소,사업장명,업태구분명,latitude,longitude,mean_price
서울 서초구 강남대로61길 10 10층 언더커버강남,언더커버강남역 파티룸,장소대여,37.4992232,127.0254705,30000
서울 동작구 국사봉1길 108 지층,시혜적동물,장소대여,37.4966539,126.9317735,30000
서울 마포구 양화로 156,스페이스히트,장소대여,37.5560787,126.9234503,30000
서울 강남구 테헤란로25길 20,더스페이스원,장소대여,37.5016367,127.0356339,30000
서울 은평구 연서로29길 6 4층,은하DVD,DVD방,37.6188157,126.9196042,30000
서울 용산구 두텁바위로1길 67,후암 시네마,장소대여,37.5469579,126.9754404,30000
서울 관악구 청룡길 30 301호,노마스 그리너리,장소대여,37.4804837,126.9459366,30000
서울 광진구 동일로22길 42 4층,시글루 건대점,장소대여,37.5418767,127.0664526,30000
서울 관악구 봉천로 453 지하 1층,미니라지모어,장소대여,37.4826427,126.9504034,30000
서울 관악구 봉천로 373-9 B1층,부름스페이스 모임공간파티,장소대여,37.4839991,126.9417161,30000
서울 용산구 한강대로23길 55 현대아이파크몰 6층,CGV 용산아이파크몰,영화관,37.5297133,126.9647528,30000
서울 강남구 봉은사로 524,메가박스 코엑스,영화관,37.5125207,127.0588194,30000
서울 영등포구 영중로 15 타임스퀘어 4F,CGV 영등포,영화관,37.5169933,126.9035425,30000
서울 성동구 왕십리광장로 17,CGV 왕십리,영화관,37.5612886,127.038382,30000
서울 성동구 왕십리로 50,메가박스 성수점,영화관,37.5418696,127.0449555,30000
서울 강서구 하늘길 38,롯데시네마 김포공항,영화관,37.5650592,126.8029919,30000
서울 마포구 양화로 186 LC타워 7층 CGV 연남,CGV 연남,영화관,37.5577036,126.9258096,30000
서울 양천구 목동동로 309,메가박스 목동지점,영화관,37.5293731,126.8760838,30000
서울 동대문구 왕산로 214,롯데시네마 청량리점,영화관,37.5809769,127.0469926,30000
서울 관악구 신림로 330 타임스트림 10층-15층,롯데시네마 신림,영화관,37.4838735,126.9302332,30000
서울 광진구 광나루로56길 85 테크노-마트21,CGV 강변,영화관,37.5355072,127.095505,30000
서울 노원구 동일로 1414 롯데백화점,롯데시네마 노원,영화관,37.6539831,127.0606197,30000
서울 마포구 양화로 147,메가박스 홍대,영화관,37.5560662,126.9220934,30000
서울 영등포구 경인로 846 영등포 민자역사 7층,롯데시네마 영등포,영화관,37.5159228,126.9073727,30000
서울 구로구 새말로 97 신도림테크노마트 12층,씨네Q 신도림점,영화관,37.5070431,126.8902185,30000
서울 동작구 동작대로 89 골든시네마타워,메가박스 이수점,영화관,37.484608,126.9816382,30000
서울 강남구 강남대로 438 스타플렉스,CGV 강남,영화관,37.501652,127.0263751,30000
서울 송파구 송파대로 111 204동 지하1층 메가박스,메가박스 송파 파크하비오,영화관,37.4806043,127.1236664,30000
서울 중구 장충단로 247 굿모닝시티 쇼핑몰,메가박스 동대문,영화관,37.5668311,127.0075414,30000
서울 마포구 양화로 176 동교동 스타피카소,롯데시네마 홍대입구,영화관,37.552591,126.9193923,30000
서울 동작구 시흥대로 606 B2F,롯데시네마 신대방,영화관,37.4862684,126.9053069,30000
서울 중랑구 동일로 951,롯데시네마 중랑,영화관,37.6151427,127.0760085,30000
서울 강동구 양재대로 1571 천호복합 상업시설 4층,CGV 천호,영화관,37.5457174,127.1422509,30000
서울 중구 남대문로 73 AVENUEL,롯데시네마 에비뉴엘,영화관,37.5640617,126.9815908,30000
서울 마포구 양화로 153 토로스 쇼핑타워,CGV 홍대,영화관,37.5564405,126.9226104,30000
서울 종로구 돈화문로5가길 1 피카디리플러스,CGV 피카디리1958,영화관,37.5710067,126.9911903,30000
서울 서대문구 신촌역로 30 신촌민자역사,메가박스 신촌,영화관,37.5597943,126.9419176,30000
서울 서초구 신반포로 176 센트럴시티,메가박스 센트럴,영화관,37.5041299,127.0030692,30000
서울 강남구 논현로 848,CGV 압구정,영화관,37.5245826,127.0288278,30000
서울 은평구 진관2로 15-40 구파발역복합환승센터,롯데시네마 은평,영화관,37.6380328,126.9190742,30000
서울 중랑구 상봉로 131 상봉 듀오트리스 주상복합,CGV 상봉,영화관,37.5974401,127.0922415,30000
서울 구로구 구로중앙로 152 NC백화점 6층,CGV 구로,영화관,37.5011761,126.8828394,30000
서울 강서구 양천로 476 롯데시네마 가양 4층,롯데시네마 가양,영화관,37.5616007,126.8531589,30000
